punk_id,accessories,type,clean_accessories,neighbors,neighbors_clean
2333,"['Bandana', 'Medical Mask', 'Small Shades']",male,male 'bandana' 'medical mask' 'small shades',"[[3626, 0.8399], [7869, 0.8025], [6210, 0.7977], [7972, 0.7889], [7886, 0.7725], [436, 0.718], [1787, 0.7147], [2666, 0.7147], [3501, 0.7147], [4000, 0.7147]]","[[3626, 0.8399], [7869, 0.8025], [6210, 0.7977], [7972, 0.7889], [7886, 0.7725], [436, 0.718], [1787, 0.7147], [2666, 0.7147], [3501, 0.7147], [4000, 0.7147]]"
2334,"['Knitted Cap', 'Eye Mask']",female,female 'knitted cap' 'eye mask',"[[2399, 0.9444], [2553, 0.9444], [6346, 0.9444], [3663, 0.8717], [963, 0.8286], [2316, 0.8286], [9915, 0.8079], [8453, 0.8056], [2864, 0.8031], [6907, 0.8031]]","[[2399, 0.9444], [2553, 0.9444], [6346, 0.9444], [3663, 0.8717], [963, 0.8286], [2316, 0.8286], [9915, 0.8079], [8453, 0.8056], [2864, 0.8031], [6907, 0.8031]]"
2335,"['Handlebars', 'Earring', 'Crazy Hair']",male,male 'handlebars' 'earring' 'crazy hair',"[[2113, 1.0], [8477, 0.9421], [9297, 0.789], [9239, 0.7817], [2136, 0.7685], [420, 0.7624], [1301, 0.7624], [3572, 0.7624], [4170, 0.7624], [4792, 0.7585]]","[[2113, 1.0], [8477, 0.9421], [9297, 0.789], [9239, 0.7817], [2136, 0.7685], [420, 0.7624], [1301, 0.7624], [3572, 0.7624], [4170, 0.7624], [4792, 0.7585]]"
2336,"['Clown Nose', 'Earring', 'Clown Hair Green']",male,male 'clown nose' 'earring' 'clown hair green',"[[155, 0.9672], [2475, 0.9323], [6740, 0.8397], [6091, 0.8158], [3554, 0.8098], [4542, 0.8098], [7993, 0.8098], [9077, 0.7761], [8827, 0.7748], [4593, 0.7738]]","[[155, 0.9672], [2475, 0.9323], [6740, 0.8397], [6091, 0.8158], [3554, 0.8098], [4542, 0.8098], [7993, 0.8098], [9077, 0.7761], [8827, 0.7748], [4593, 0.7738]]"
2337,"['Earring', 'Mohawk']",male,male 'earring' 'mohawk',"[[95, 1.0], [146, 1.0], [2511, 1.0], [1141, 0.8255], [2563, 0.8255], [3632, 0.8255], [113, 0.8075], [130, 0.8075], [181, 0.8075], [763, 0.8075]]","[[95, 1.0], [146, 1.0], [2511, 1.0], [1141, 0.8255], [2563, 0.8255], [3632, 0.8255], [113, 0.8075], [130, 0.8075], [181, 0.8075], [763, 0.8075]]"
2338,['Mohawk Thin'],zombie,zombie 'mohawk thin',"[[2306, 0.8802], [2967, 0.8582], [5944, 0.8419], [8472, 0.8354], [5742, 0.7479], [9909, 0.6592], [6275, 0.6557], [4850, 0.6211], [1374, 0.6098], [2938, 0.6057]]","[[2306, 0.8802], [2967, 0.8582], [5944, 0.8419], [8472, 0.8354], [5742, 0.7479], [9909, 0.6592], [6275, 0.6557], [4850, 0.6211], [1374, 0.6098], [2938, 0.6057]]"
2339,"['Black Lipstick', 'Mohawk Thin']",female,female 'black lipstick' 'mohawk thin',"[[669, 1.0], [3140, 1.0], [9635, 1.0], [6379, 0.9446], [9003, 0.9004], [1249, 0.8593], [4964, 0.8325], [6077, 0.8175], [9836, 0.8072], [658, 0.8032]]","[[669, 1.0], [3140, 1.0], [9635, 1.0], [6379, 0.9446], [9003, 0.9004], [1249, 0.8593], [4964, 0.8325], [6077, 0.8175], [9836, 0.8072], [658, 0.8032]]"
2340,"['Messy Hair', 'Mole']",male,male 'messy hair' 'mole',"[[2427, 1.0], [4219, 1.0], [7276, 1.0], [9975, 0.9304], [1804, 0.9199], [2017, 0.9199], [8029, 0.8582], [9304, 0.8582], [4027, 0.8078], [44, 0.7896]]","[[2427, 1.0], [4219, 1.0], [7276, 1.0], [9975, 0.9304], [1804, 0.9199], [2017, 0.9199], [8029, 0.8582], [9304, 0.8582], [4027, 0.8078], [44, 0.7896]]"
2341,"['Normal Beard Black', 'Big Shades', 'Headband']",male,male 'normal beard black' 'big shades' 'headband',"[[1058, 0.8483], [4557, 0.8483], [6488, 0.8483], [7319, 0.8483], [3742, 0.8055], [4040, 0.8055], [4905, 0.8055], [6228, 0.802], [6744, 0.7899], [4901, 0.7741]]","[[1058, 0.8483], [4557, 0.8483], [6488, 0.8483], [7319, 0.8483], [3742, 0.8055], [4040, 0.8055], [4905, 0.8055], [6228, 0.802], [6744, 0.7899], [4901, 0.7741]]"
2342,"['Big Shades', 'Earring', 'Shaved Head', 'Mole']",male,male 'big shades' 'earring' 'shaved head' 'mole',"[[9817, 0.9631], [9378, 0.9366], [1998, 0.908], [3072, 0.908], [3941, 0.908], [309, 0.8673], [4600, 0.8673], [4811, 0.8673], [6713, 0.8673], [1322, 0.8613]]","[[9817, 0.9631], [9378, 0.9366], [1998, 0.908], [3072, 0.908], [3941, 0.908], [309, 0.8673], [4600, 0.8673], [4811, 0.8673], [6713, 0.8673], [1322, 0.8613]]"
